Date,nikkei
2018-01-15,23714.88
2018-01-16,23951.81
2018-01-17,23868.34
2018-01-18,23763.37
2018-01-19,23808.06
2018-01-22,23816.33
2018-01-23,24124.15
2018-01-24,23940.78
2018-01-25,23669.49
2018-01-26,23631.88
2018-01-29,23629.34
2018-01-30,23291.97
2018-01-31,23098.29
2018-02-01,23486.11
2018-02-02,23274.53
2018-02-05,22682.08
2018-02-06,21610.24
2018-02-07,21645.37
2018-02-08,21890.86
2018-02-09,21382.62
2018-02-12,
2018-02-13,21244.68
2018-02-14,21154.17
2018-02-15,21464.98
2018-02-16,21720.25
2018-02-19,22149.21
2018-02-20,21925.1
2018-02-21,21970.81
2018-02-22,21736.44
2018-02-23,21892.78
2018-02-26,22153.63
2018-02-27,22389.86
2018-02-28,22068.24
2018-03-01,21724.47
2018-03-02,21181.64
2018-03-05,21042.09
2018-03-06,21417.76
2018-03-07,21252.72
2018-03-08,21368.07
2018-03-09,21469.2
2018-03-12,21824.03
2018-03-13,21968.1
2018-03-14,21777.29
2018-03-15,21803.95
2018-03-16,21676.51
2018-03-19,21480.9
2018-03-20,21380.97
2018-03-21,
2018-03-22,21591.99
2018-03-23,20617.86
2018-03-26,20766.1
2018-03-27,21317.32
2018-03-28,21031.31
2018-03-29,21159.08
2018-03-30,21454.3
2018-04-02,21388.58
2018-04-03,21292.29
2018-04-04,21319.55
2018-04-05,21645.42
2018-04-06,21567.52
2018-04-09,21678.26
2018-04-10,21794.32
2018-04-11,21687.1
2018-04-12,21660.28
2018-04-13,21778.74
2018-04-16,21835.53
2018-04-17,21847.59
2018-04-18,22158.2
2018-04-19,22191.18
2018-04-20,22162.24
2018-04-23,22088.04
2018-04-24,22278.12
2018-04-25,22215.32
2018-04-26,22319.61
2018-04-27,22467.87
2018-04-30,
2018-05-01,22508.03
2018-05-02,22472.78
2018-05-03,
2018-05-04,
2018-05-07,22467.16
2018-05-08,22508.69
2018-05-09,22408.88
2018-05-10,22497.18
2018-05-11,22758.48
2018-05-14,22865.86
2018-05-15,22818.02
2018-05-16,22717.23
2018-05-17,22838.37
2018-05-18,22930.36
2018-05-21,23002.37
2018-05-22,22960.34
2018-05-23,22689.74
2018-05-24,22437.01
2018-05-25,22450.79
2018-05-28,22481.09
2018-05-29,22358.43
2018-05-30,22018.52
2018-05-31,22201.82
2018-06-01,22171.35
2018-06-04,22475.94
2018-06-05,22539.54
2018-06-06,22625.73
2018-06-07,22823.26
2018-06-08,22694.5
2018-06-11,22804.04
2018-06-12,22878.35
2018-06-13,22966.38
2018-06-14,22738.61
2018-06-15,22851.75
2018-06-18,22680.33
2018-06-19,22278.48
2018-06-20,22555.43
2018-06-21,22693.04
2018-06-22,22516.83
2018-06-25,22338.15
2018-06-26,22342.0
2018-06-27,22271.77
2018-06-28,22270.39
2018-06-29,22304.51
2018-07-02,21811.93
2018-07-03,21785.54
2018-07-04,21717.04
2018-07-05,21546.99
2018-07-06,21788.14
2018-07-09,22052.18
2018-07-10,22196.89
2018-07-11,21932.21
2018-07-12,22187.96
2018-07-13,22597.35
2018-07-16,
2018-07-17,22697.36
2018-07-18,22794.19
2018-07-19,22764.68
2018-07-20,22697.88
2018-07-23,22396.99
2018-07-24,22510.48
2018-07-25,22614.25
2018-07-26,22586.87
2018-07-27,22712.75
2018-07-30,22544.84
2018-07-31,22553.72
2018-08-01,22746.7
2018-08-02,22512.53
2018-08-03,22525.18
2018-08-06,22507.32
2018-08-07,22662.74
2018-08-08,22644.31
2018-08-09,22598.39
2018-08-10,22298.08
2018-08-13,21857.43
2018-08-14,22356.08
2018-08-15,22204.22
2018-08-16,22192.04
2018-08-17,22270.38
2018-08-20,22199.0
2018-08-21,22219.73
2018-08-22,22362.55
2018-08-23,22410.82
2018-08-24,22601.77
2018-08-27,22799.64
2018-08-28,22813.47
2018-08-29,22848.22
2018-08-30,22869.5
2018-08-31,22865.15
2018-09-03,22707.38
2018-09-04,22696.9
2018-09-05,22580.83
2018-09-06,22487.94
2018-09-07,22307.06
2018-09-10,22373.09
2018-09-11,22664.69
2018-09-12,22604.61
2018-09-13,22821.32
2018-09-14,23094.67
2018-09-17,
2018-09-18,23420.54
2018-09-19,23672.52
2018-09-20,23674.93
2018-09-21,23869.93
2018-09-24,
2018-09-25,23940.26
2018-09-26,24033.79
2018-09-27,23796.74
2018-09-28,24120.04
2018-10-01,24245.76
2018-10-02,24270.62
2018-10-03,24110.96
2018-10-04,23975.62
2018-10-05,23783.72
2018-10-08,
2018-10-09,23469.39
2018-10-10,23506.04
2018-10-11,22590.86
2018-10-12,22694.66
2018-10-15,22271.3
2018-10-16,22549.24
2018-10-17,22841.12
2018-10-18,22658.16
2018-10-19,22532.08
2018-10-22,22614.82
2018-10-23,22010.78
2018-10-24,22091.18
2018-10-25,21268.73
2018-10-26,21184.6
2018-10-29,21149.8
2018-10-30,21457.29
2018-10-31,21920.46
2018-11-01,21687.65
2018-11-02,22243.66
2018-11-05,21898.99
2018-11-06,22147.75
2018-11-07,22085.8
2018-11-08,22486.92
2018-11-09,22250.25
2018-11-12,22269.88
2018-11-13,21810.52
2018-11-14,21846.48
2018-11-15,21803.62
2018-11-16,21680.34
2018-11-19,21821.16
2018-11-20,21583.12
2018-11-21,21507.54
2018-11-22,21646.55
2018-11-23,
2018-11-26,21812.0
2018-11-27,21952.4
2018-11-28,22177.02
2018-11-29,22262.6
2018-11-30,22351.06
2018-12-03,22574.76
2018-12-04,22036.05
2018-12-05,21919.33
2018-12-06,21501.62
2018-12-07,21678.68
2018-12-10,21219.5
2018-12-11,21148.02
2018-12-12,21602.75
2018-12-13,21816.19
2018-12-14,21374.83
2018-12-17,21506.88
2018-12-18,21115.45
2018-12-19,20987.92
2018-12-20,20392.58
2018-12-21,20166.19
2018-12-24,
2018-12-25,19155.74
2018-12-26,19327.06
2018-12-27,20077.62
2018-12-28,20014.77
2018-12-31,
2019-01-01,
2019-01-02,
2019-01-03,
2019-01-04,19561.96
2019-01-07,20038.97
2019-01-08,20204.04
2019-01-09,20427.06
2019-01-10,20163.8
2019-01-11,20359.7
2019-01-14,
2019-01-15,20555.29
2019-01-16,20442.75
2019-01-17,20402.27
2019-01-18,20666.07
2019-01-21,20719.33
2019-01-22,20622.91
2019-01-23,20593.72
2019-01-24,20574.63
2019-01-25,20773.56
2019-01-28,20649.0
2019-01-29,20664.64
2019-01-30,20556.54
2019-01-31,20773.49
2019-02-01,20788.39
2019-02-04,20883.77
2019-02-05,20844.45
2019-02-06,20874.06
2019-02-07,20751.28
2019-02-08,20333.17
2019-02-11,
2019-02-12,20864.21
2019-02-13,21144.48
2019-02-14,21139.71
2019-02-15,20900.63
2019-02-18,21281.85
2019-02-19,21302.65
2019-02-20,21431.49
2019-02-21,21464.23
2019-02-22,21425.51
2019-02-25,21528.23
2019-02-26,21449.39
2019-02-27,21556.51
2019-02-28,21385.16
2019-03-01,21602.69
2019-03-04,21822.04
2019-03-05,21726.28
2019-03-06,21596.81
2019-03-07,21456.01
2019-03-08,21025.56
2019-03-11,21125.09
2019-03-12,21503.69
2019-03-13,21290.24
2019-03-14,21287.02
2019-03-15,21450.85
2019-03-18,21584.5
2019-03-19,21566.85
2019-03-20,21608.92
2019-03-21,
2019-03-22,21627.34
2019-03-25,20977.11
2019-03-26,21428.39
2019-03-27,21378.73
2019-03-28,21033.76
2019-03-29,21205.81
2019-04-01,21509.03
2019-04-02,21505.31
2019-04-03,21713.21
2019-04-04,21724.95
2019-04-05,21807.5
2019-04-08,21761.65
2019-04-09,21802.59
2019-04-10,21687.57
2019-04-11,21711.38
2019-04-12,21870.56
2019-04-15,22169.11
2019-04-16,22221.66
2019-04-17,22277.97
2019-04-18,22090.12
2019-04-19,22200.56
2019-04-22,22217.9
2019-04-23,22259.74
2019-04-24,22200.0
2019-04-25,22307.58
2019-04-26,22258.73
2019-04-29,
2019-04-30,
2019-05-01,
2019-05-02,
2019-05-03,
2019-05-06,
2019-05-07,21923.72
2019-05-08,21602.59
2019-05-09,21402.13
2019-05-10,21344.92
2019-05-13,21191.28
2019-05-14,21067.23
2019-05-15,21188.56
2019-05-16,21062.98
2019-05-17,21250.09
2019-05-20,21301.73
2019-05-21,21272.45
2019-05-22,21283.37
2019-05-23,21151.14
2019-05-24,21117.22
2019-05-27,21182.58
2019-05-28,21260.14
2019-05-29,21003.37
2019-05-30,20942.53
2019-05-31,20601.19
2019-06-03,20410.88
2019-06-04,20408.54
2019-06-05,20776.1
2019-06-06,20774.04
2019-06-07,20884.71
2019-06-10,21134.42
2019-06-11,21204.28
2019-06-12,21129.72
2019-06-13,21032.0
2019-06-14,21116.89
2019-06-17,21124.0
2019-06-18,20972.71
2019-06-19,21333.87
2019-06-20,21462.86
2019-06-21,21258.64
2019-06-24,21285.99
2019-06-25,21193.81
2019-06-26,21086.59
2019-06-27,21338.17
2019-06-28,21275.92
2019-07-01,21729.97
2019-07-02,21754.27
2019-07-03,21638.16
2019-07-04,21702.45
2019-07-05,21746.38
2019-07-08,21534.35
2019-07-09,21565.15
2019-07-10,21533.48
2019-07-11,21643.53
2019-07-12,21685.9
2019-07-15,
2019-07-16,21535.25
2019-07-17,21469.18
2019-07-18,21046.24
2019-07-19,21466.99
2019-07-22,21416.79
2019-07-23,21620.88
2019-07-24,21709.57
2019-07-25,21756.55
2019-07-26,21658.15
2019-07-29,21616.8
2019-07-30,21709.31
2019-07-31,21521.53
2019-08-01,21540.99
2019-08-02,21087.16
2019-08-05,20720.29
2019-08-06,20585.31
2019-08-07,20516.56
2019-08-08,20593.35
2019-08-09,20684.82
2019-08-12,
2019-08-13,20455.44
2019-08-14,20655.13
2019-08-15,20405.65
2019-08-16,20418.81
2019-08-19,20563.16
2019-08-20,20677.22
2019-08-21,20618.57
2019-08-22,20628.01
2019-08-23,20710.91
2019-08-26,20261.04
2019-08-27,20456.08
2019-08-28,20479.42
2019-08-29,20460.93
2019-08-30,20704.37
2019-09-02,20620.19
2019-09-03,20625.16
2019-09-04,20649.14
2019-09-05,21085.94
2019-09-06,21199.57
2019-09-09,21318.42
2019-09-10,21392.1
2019-09-11,21597.76
2019-09-12,21759.61
2019-09-13,21988.29
2019-09-16,
2019-09-17,22001.32
2019-09-18,21960.71
2019-09-19,22044.45
2019-09-20,22079.09
2019-09-23,
2019-09-24,22098.84
2019-09-25,22020.15
2019-09-26,22048.24
2019-09-27,21878.9
2019-09-30,21755.84
2019-10-01,21885.24
2019-10-02,21778.61
2019-10-03,21341.74
2019-10-04,21410.2
2019-10-07,21375.25
2019-10-08,21587.78
2019-10-09,21456.38
2019-10-10,21551.98
2019-10-11,21798.87
2019-10-14,
2019-10-15,22207.21
2019-10-16,22472.92
2019-10-17,22451.86
2019-10-18,22492.68
2019-10-21,22548.9
2019-10-22,
2019-10-23,22625.38
2019-10-24,22750.6
2019-10-25,22799.81
2019-10-28,22867.27
2019-10-29,22974.13
2019-10-30,22843.12
2019-10-31,22927.04
2019-11-01,22850.77
2019-11-04,
2019-11-05,23251.99
2019-11-06,23303.82
2019-11-07,23330.32
2019-11-08,23391.87
2019-11-11,23331.84
2019-11-12,23520.01
2019-11-13,23319.87
2019-11-14,23141.55
2019-11-15,23303.32
2019-11-18,23416.76
2019-11-19,23292.65
2019-11-20,23148.57
2019-11-21,23038.58
2019-11-22,23112.88
2019-11-25,23292.81
2019-11-26,23373.32
2019-11-27,23437.77
2019-11-28,23409.14
2019-11-29,23293.91
2019-12-02,23529.5
2019-12-03,23379.81
2019-12-04,23135.23
2019-12-05,23300.09
2019-12-06,23354.4
2019-12-09,23430.7
2019-12-10,23410.19
2019-12-11,23391.86
2019-12-12,23424.81
2019-12-13,24023.1
2019-12-16,23952.35
2019-12-17,24066.12
2019-12-18,23934.43
2019-12-19,23864.85
2019-12-20,23816.63
2019-12-23,23821.11
2019-12-24,23830.58
2019-12-25,23782.87
2019-12-26,23924.92
2019-12-27,23837.72
2019-12-30,23656.62
2019-12-31,
2020-01-01,
2020-01-02,
2020-01-03,
2020-01-06,23204.86
2020-01-07,23575.72
2020-01-08,23204.76
2020-01-09,23739.87
2020-01-10,23850.57
2020-01-13,
2020-01-14,24025.17
2020-01-15,23916.58
2020-01-16,23933.13
2020-01-17,24041.26
2020-01-20,24083.51
2020-01-21,23864.56
2020-01-22,24031.35
2020-01-23,23795.44
2020-01-24,23827.18
2020-01-27,23343.51
2020-01-28,23215.71
2020-01-29,23379.4
2020-01-30,22977.75
2020-01-31,23205.18
2020-02-03,22971.94
2020-02-04,23084.59
2020-02-05,23319.56
2020-02-06,23873.59
2020-02-07,23827.98
2020-02-10,23685.98
2020-02-11,
2020-02-12,23861.21
2020-02-13,23827.73
2020-02-14,23687.59
2020-02-17,23523.24
2020-02-18,23193.8
2020-02-19,23400.7
2020-02-20,23479.15
2020-02-21,23386.74
2020-02-24,
2020-02-25,22605.41
2020-02-26,22426.19
2020-02-27,21948.23
2020-02-28,21142.96
2020-03-02,21344.08
2020-03-03,21082.73
2020-03-04,21100.06
2020-03-05,21329.12
2020-03-06,20749.75
2020-03-09,19698.76
2020-03-10,19867.12
2020-03-11,19416.06
2020-03-12,18559.63
2020-03-13,17431.05
2020-03-16,17002.04
2020-03-17,17011.53
2020-03-18,16726.55
2020-03-19,16552.83
2020-03-20,
2020-03-23,16887.78
2020-03-24,18092.35
2020-03-25,19546.63
2020-03-26,18664.6
2020-03-27,19389.43
2020-03-30,19084.97
2020-03-31,18917.01
2020-04-01,18065.41
2020-04-02,17818.72
2020-04-03,17820.19
2020-04-06,18576.3
2020-04-07,18950.18
2020-04-08,19353.24
2020-04-09,19345.77
2020-04-10,19498.5
2020-04-13,19043.4
2020-04-14,19638.81
2020-04-15,19550.09
2020-04-16,19290.2
2020-04-17,19897.26
2020-04-20,19669.12
2020-04-21,19280.78
2020-04-22,19137.95
2020-04-23,19429.44
2020-04-24,19262.0
2020-04-27,19783.22
2020-04-28,19771.19
2020-04-29,
2020-04-30,20193.69
2020-05-01,19619.35
2020-05-04,
2020-05-05,
2020-05-06,
2020-05-07,19674.77
2020-05-08,20179.09
2020-05-11,20390.66
2020-05-12,20366.48
2020-05-13,20267.05
2020-05-14,19914.78
2020-05-15,20037.47
2020-05-18,20133.73
2020-05-19,20433.45
2020-05-20,20595.15
2020-05-21,20552.31
2020-05-22,20388.16
2020-05-25,20741.65
2020-05-26,21271.17
2020-05-27,21419.23
2020-05-28,21916.31
2020-05-29,21877.89
2020-06-01,22062.39
2020-06-02,22325.61
2020-06-03,22613.76
2020-06-04,22695.74
2020-06-05,22863.73
2020-06-08,23178.1
2020-06-09,23091.03
2020-06-10,23124.95
2020-06-11,22472.91
2020-06-12,22305.48
2020-06-15,21530.95
2020-06-16,22582.21
2020-06-17,22455.76
2020-06-18,22355.46
2020-06-19,22478.79
2020-06-22,22437.27
2020-06-23,22549.05
2020-06-24,22534.32
2020-06-25,22259.79
2020-06-26,22512.08
2020-06-29,21995.04
2020-06-30,22288.14
2020-07-01,22121.73
2020-07-02,22145.96
2020-07-03,22306.48
2020-07-06,22714.44
2020-07-07,22614.69
2020-07-08,22438.65
2020-07-09,22529.29
2020-07-10,22290.81
2020-07-13,22784.74
2020-07-14,22587.01
2020-07-15,22945.5
2020-07-16,22770.36
2020-07-17,22696.42
2020-07-20,22717.48
2020-07-21,22884.22
2020-07-22,22751.61
2020-07-23,
2020-07-24,
2020-07-27,22715.85
2020-07-28,22657.38
2020-07-29,22397.11
2020-07-30,22339.23
2020-07-31,21710.0
2020-08-03,22195.38
2020-08-04,22573.66
2020-08-05,22514.85
2020-08-06,22418.15
2020-08-07,22329.94
2020-08-10,
2020-08-11,22750.24
2020-08-12,22843.96
2020-08-13,23249.61
2020-08-14,23289.36
2020-08-17,23096.75
2020-08-18,23051.08
2020-08-19,23110.61
2020-08-20,22880.62
2020-08-21,22920.3
2020-08-24,22985.51
2020-08-25,23296.77
2020-08-26,23290.86
2020-08-27,23208.86
2020-08-28,22882.65
2020-08-31,23139.76
2020-09-01,23138.07
2020-09-02,23247.15
2020-09-03,23465.53
2020-09-04,23205.43
2020-09-07,23089.95
2020-09-08,23274.13
2020-09-09,23032.54
2020-09-10,23235.47
2020-09-11,23406.49
2020-09-14,23559.3
2020-09-15,23454.89
2020-09-16,23475.53
2020-09-17,23319.37
2020-09-18,23360.3
2020-09-21,
2020-09-22,
2020-09-23,23346.49
2020-09-24,23087.82
2020-09-25,23204.62
2020-09-28,23511.62
2020-09-29,23539.1
2020-09-30,23185.12
2020-10-01,23185.12
2020-10-02,23029.9
2020-10-05,23312.14
2020-10-06,23433.73
2020-10-07,23422.82
2020-10-08,23647.07
2020-10-09,23619.69
2020-10-12,23558.69
2020-10-13,23601.78
2020-10-14,23626.73
2020-10-15,23507.23
2020-10-16,23410.63
2020-10-19,23671.13
2020-10-20,23567.04
2020-10-21,23639.46
2020-10-22,23474.27
2020-10-23,23516.59
2020-10-26,23494.34
2020-10-27,23485.8
2020-10-28,23418.51
2020-10-29,23331.94
2020-10-30,22977.13
2020-11-02,23295.48
2020-11-03,
2020-11-04,23695.23
2020-11-05,24105.28
2020-11-06,24325.23
2020-11-09,24839.84
2020-11-10,24905.59
2020-11-11,25349.6
2020-11-12,25520.88
2020-11-13,25385.87
2020-11-16,25906.93
2020-11-17,26014.62
2020-11-18,25728.14
2020-11-19,25634.34
2020-11-20,25527.37
2020-11-23,
2020-11-24,26165.59
2020-11-25,26296.86
2020-11-26,26537.31
2020-11-27,26644.71
2020-11-30,26433.62
2020-12-01,26787.54
2020-12-02,26800.98
2020-12-03,26809.37
2020-12-04,26751.24
2020-12-07,26547.44
2020-12-08,26467.08
2020-12-09,26817.94
2020-12-10,26756.24
2020-12-11,26652.52
2020-12-14,26732.44
2020-12-15,26687.84
2020-12-16,26757.4
2020-12-17,26806.67
2020-12-18,26763.39
2020-12-21,26714.42
2020-12-22,26436.39
2020-12-23,26524.79
2020-12-24,26668.35
2020-12-25,26656.61
2020-12-28,26854.03
2020-12-29,27568.15
2020-12-30,27444.17
2020-12-31,
2021-01-01,
2021-01-04,27258.38
2021-01-05,27158.63
2021-01-06,27055.94
2021-01-07,27490.13
2021-01-08,28139.03
2021-01-11,
2021-01-12,28164.34
2021-01-13,28456.59
2021-01-14,28698.26
2021-01-15,28519.18
2021-01-18,28242.21
2021-01-19,28633.46
2021-01-20,28523.26
2021-01-21,28756.86
2021-01-22,28631.45
2021-01-25,28822.29
2021-01-26,28546.18
2021-01-27,28635.21
2021-01-28,28197.42
2021-01-29,27663.39
2021-02-01,28091.05
2021-02-02,28362.17
2021-02-03,28646.5
2021-02-04,28341.95
2021-02-05,28779.19
2021-02-08,29388.5
2021-02-09,29505.93
2021-02-10,29562.93
2021-02-11,
2021-02-12,29520.07
2021-02-15,30084.15
2021-02-16,30467.75
2021-02-17,30292.19
2021-02-18,30236.09
2021-02-19,30017.92
2021-02-22,30156.03
2021-02-23,
2021-02-24,29671.7
2021-02-25,30168.27
2021-02-26,28966.01
2021-03-01,29663.5
2021-03-02,29408.17
2021-03-03,29559.1
2021-03-04,28930.11
2021-03-05,28864.32
2021-03-08,28743.25
2021-03-09,29027.94
2021-03-10,29036.56
2021-03-11,29211.64
2021-03-12,29717.83
2021-03-15,29766.97
2021-03-16,29921.09
2021-03-17,29914.33
2021-03-18,30216.75
2021-03-19,29792.05
2021-03-22,29174.15
2021-03-23,28995.92
2021-03-24,28405.52
2021-03-25,28729.88
2021-03-26,29176.7
2021-03-29,29384.52
2021-03-30,29432.7
2021-03-31,29178.8
2021-04-01,29388.87
2021-04-02,29854.0
2021-04-05,30089.25
2021-04-06,29696.63
2021-04-07,29730.79
2021-04-08,29708.98
2021-04-09,29768.06
2021-04-12,29538.73
2021-04-13,29751.61
2021-04-14,29620.99
2021-04-15,29642.69
2021-04-16,29683.37
2021-04-19,29685.37
2021-04-20,29100.38
2021-04-21,28508.55
2021-04-22,29188.17
2021-04-23,29020.63
2021-04-26,29126.23
2021-04-27,28991.89
2021-04-28,29053.97
2021-04-29,
2021-04-30,28812.63
2021-05-03,
2021-05-04,
2021-05-05,
2021-05-06,29331.37
2021-05-07,29357.82
2021-05-10,29518.34
2021-05-11,28608.59
2021-05-12,28147.51
2021-05-13,27448.01
2021-05-14,28084.47
2021-05-17,27824.83
2021-05-18,28406.84
2021-05-19,28044.45
2021-05-20,28098.25
2021-05-21,28317.83
2021-05-24,28364.61
2021-05-25,28553.98
2021-05-26,28642.19
2021-05-27,28549.01
2021-05-28,29149.41
